"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId","value","responses","num_errors"
"pit-trial","10","36480","0.0-1.0-4.0-1.0","battery-v0.2","","82.19999998807907","&#9761;","elianto","#3366ff99","-1","32","0","0","1582.9000000357628","1","0","2","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","11","40403","0.0-1.0-4.0-2.0","battery-v0.2","","418.2999999523163","&#9761;","elianto","#3366ff99","-1","32","0","0","1491.7000000476837,1920","2","0","2","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","12","44082","0.0-1.0-4.0-3.0","battery-v0.2","","175.5999999642372","&#9761;","elianto","#3366ff99","-1","32","0","0","1675.5999999642372","1","0","2","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","13","47609","0.0-1.0-4.0-4.0","battery-v0.2","","19.600000023841858","&#9761;","elianto","#3366ff99","-1","32","0","+10","1519.9000000357628","1","0","2","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","14","53116","0.0-1.0-4.1-0.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","15","58623","0.0-1.0-4.1-1.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","16","64132","0.0-1.0-4.1-2.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","17","69639","0.0-1.0-4.1-3.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","18","75148","0.0-1.0-4.1-4.1","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","998","3&age=998&participant_ID=5&order=1","5","","",""
"call-function","19","75149","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"pit-instructions","20","79434","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1800.699999988079},{""page_index"":1,""viewing_time"":516.1999999880791},{""page_index"":2,""viewing_time"":983.8000000119209},{""page_index"":3,""viewing_time"":533.1999999880791},{""page_index"":4,""viewing_time"":449.89999997615814}]","4284.199999988079","","","","","","","","","","","","","","","","",""
"pit-trial","21","84942","0.0-1.0-7.0-0.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","22","90450","0.0-1.0-7.0-1.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","23","95958","0.0-1.0-7.0-2.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","-10","","0","0","3","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","24","101465","0.0-1.0-7.0-3.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","25","106976","0.0-1.0-7.0-4.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","998","3&age=998&participant_ID=5&order=1","5","","",""
"call-function","26","106977","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"pit-instructions","27","109649","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2104.599999964237},{""page_index"":1,""viewing_time"":383.30000001192093},{""page_index"":2,""viewing_time"":183.39999997615814}]","2671.7999999523163","","","","","","","","","","","","","","","","",""
"pit-trial","28","114390","0.0-1.0-10.0-0.0","battery-v0.2","","1239","&#9789;","elianto","#f73b6a7A","32","32","1","0","2738.699999988079","1","0","4","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","29","118106","0.0-1.0-10.0-1.0","battery-v0.2","","209","&#9789;","elianto","#f73b6a7A","32","32","1","0","1710.5","1","0","4","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","30","122131","0.0-1.0-10.0-2.0","battery-v0.2","","520.1000000238419","&#9789;","elianto","#f73b6a7A","32","32","1","0","2021.199999988079","1","0","4","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","31","125820","0.0-1.0-10.0-3.0","battery-v0.2","","183.39999997615814","&#9789;","elianto","#f73b6a7A","32","32","1","0","1686.5999999642372","1","0","4","998","3&age=998&participant_ID=5&order=1","5","","",""
"pit-trial","32","129622","0.0-1.0-10.0-4.0","battery-v0.2","","299.60000002384186","&#9789;","elianto","#f73b6a7A","32","32","1","-10","1799.800000011921","1","0","4","998","3&age=998&participant_ID=5&order=1","5","","",""
"call-function","33","129623","0.0-1.0-11.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"pit-instructions","34","132981","0.0-1.0-12.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1424.199999988079},{""page_index"":1,""viewing_time"":350.30000001192093},{""page_index"":2,""viewing_time"":366.69999998807907},{""page_index"":3,""viewing_time"":416.69999998807907},{""page_index"":4,""viewing_time"":416.60000002384186},{""page_index"":5,""viewing_time"":383.30000001192093}]","3358.199999988079","","","","","","","","","","","","","","","","",""
"pit-comprehension","35","135715","0.0-1.0-13.0-0.0","battery-v0.2","","2731.400000035763","","","","","","","","","","","","","","","","SPACE","0"
"pit-instructions","36","137447","0.0-1.0-13.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1724}]","1724.300000011921","","","","","","","","","","","","","","","","",""
"pit-comprehension","37","139414","0.0-1.0-14.0-0.0","battery-v0.2","","1964.699999988079","","","","","","","","","","","","","","","","10","0"
"pit-instructions","38","140531","0.0-1.0-14.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1109.199999988079}]","1109.5","","","","","","","","","","","","","","","","",""
"pit-comprehension","39","142748","0.0-1.0-15.0-0.0","battery-v0.2","","2214.800000011921","","","","","","","","","","","","","","","","10","0"
"pit-instructions","40","143797","0.0-1.0-15.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1042.1000000238419}]","1042.4000000357628","","","","","","","","","","","","","","","","",""
"pit-comprehension","41","146047","0.0-1.0-16.0-0.0","battery-v0.2","","2247.899999976158","","","","","","","","","","","","","","","","True","0"
"pit-instructions","42","147030","0.0-1.0-16.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":974}]","974.3000000119209","","","","","","","","","","","","","","","","",""
"pit-comprehension","43","148764","0.0-1.0-17.0-0.0","battery-v0.2","","1731.4000000357628","","","","","","","","","","","","","","","","True","0"
"pit-instructions","44","149830","0.0-1.0-17.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1058.5}]","1058.699999988079","","","","","","","","","","","","","","","","",""
