"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId","value","responses","num_errors"
"pit-instructions","15","70497","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":4678.200000047684},{""page_index"":1,""viewing_time"":166.79999995231628},{""page_index"":2,""viewing_time"":166.60000002384186},{""page_index"":3,""viewing_time"":166.69999998807907},{""page_index"":4,""viewing_time"":166.60000002384186}]","5345.300000011921","","","","","","","","","","","","","","","","",""
"pit-trial","16","76003","0.0-1.0-7.0-0.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","17","81506","0.0-1.0-7.0-1.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","18","87012","0.0-1.0-7.0-2.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","-10","","0","0","3","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","19","92519","0.0-1.0-7.0-3.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","20","98030","0.0-1.0-7.0-4.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","14","3&age=14&participant_ID=5&order=1","5","","",""
"call-function","21","98031","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"pit-instructions","22","114944","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":6829.799999952316},{""page_index"":1,""viewing_time"":7775.700000047684},{""page_index"":2,""viewing_time"":2307.2999999523163}]","16913.19999998808","","","","","","","","","","","","","","","","",""
"pit-trial","23","118905","0.0-1.0-10.0-0.0","battery-v0.2","","452.69999998807907","&#9789;","elianto","#f73b6a7A","32","32","1","0","1955.800000011921","1","0","4","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","24","122594","0.0-1.0-10.0-1.0","battery-v0.2","","183.10000002384186","&#9789;","elianto","#f73b6a7A","32","32","1","0","1684.800000011921","1","0","4","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","25","126305","0.0-1.0-10.0-2.0","battery-v0.2","","208.5","&#9789;","elianto","#f73b6a7A","32","32","1","0","1708.699999988079","1","0","4","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","26","130367","0.0-1.0-10.0-3.0","battery-v0.2","","557","&#9789;","elianto","#f73b6a7A","32","32","1","0","1484.5,2058.300000011921","2","0","4","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","27","134069","0.0-1.0-10.0-4.0","battery-v0.2","","197","&#9789;","elianto","#f73b6a7A","32","32","1","-10","1697.199999988079","1","0","4","14","3&age=14&participant_ID=5&order=1","5","","",""
"call-function","28","134070","0.0-1.0-11.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"pit-instructions","29","222571","0.0-1.0-12.0","battery-v0.2","[{""page_index"":0,""viewing_time"":7871.700000047684},{""page_index"":1,""viewing_time"":54598.59999996424},{""page_index"":2,""viewing_time"":3233.400000035763},{""page_index"":3,""viewing_time"":8916.5},{""page_index"":4,""viewing_time"":4733},{""page_index"":5,""viewing_time"":5133.299999952316},{""page_index"":6,""viewing_time"":4015.800000011921}]","88502.60000002384","","","","","","","","","","","","","","","","",""
"pit-comprehension","30","235021","0.0-1.0-13.0-0.0","battery-v0.2","","12448.599999964237","","","","","","","","","","","","","","","","ENTER","1"
"pit-instructions","31","243236","0.0-1.0-13.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":8205.699999988079}]","8205.800000011921","","","","","","","","","","","","","","","","",""
"pit-instructions","32","247570","0.0-1.0-13.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":4332.5}]","4332.900000035763","","","","","","","","","","","","","","","","",""
"pit-comprehension","33","258403","0.0-1.0-13.1-0.1","battery-v0.2","","10830.399999976158","","","","","","","","","","","","","","","","SPACE","0"
